"","long","lat","timestamps","timelong","sessions","days","elapsed","diff","diffsum","nextlong","nextlat","longabs"
"1",-114.000521,46.8863239,"2020-08-18T17:50:40.943Z",1597751440.943,1,1,42640.9430000782,0,0,-114.0003483,46.8867828,114.000521
"2",-114.0003483,46.8867828,"2020-08-18T17:50:42.000Z",1597751442,1,1,42642,1.05699992179871,1.05699992179871,-113.99985851,46.8860442,114.0003483
"3",-113.99985851,46.8860442,"2020-08-18T17:51:49.000Z",1597751509,1,1,42709,67,68.0569999217987,-113.99923829,46.88620445,113.99985851
"4",-113.99923829,46.88620445,"2020-08-18T17:52:24.000Z",1597751544,1,1,42744,35,103.056999921799,-113.9972224,46.8859341,113.99923829
"5",-113.9972224,46.8859341,"2020-08-18T17:53:11.848Z",1597751591.848,1,1,42791.8480000496,47.8480000495911,150.90499997139,-113.99777595,46.88587114,113.9972224
"6",-113.99777595,46.88587114,"2020-08-18T17:53:12.000Z",1597751592,1,1,42792,0.151999950408936,151.056999921799,-113.997109,46.8852904,113.99777595
"7",-113.997109,46.8852904,"2020-08-18T17:53:44.108Z",1597751624.108,1,1,42824.1080000401,32.1080000400543,183.164999961853,-113.997755,46.8847488,113.997109
"8",-113.997755,46.8847488,"2020-08-18T17:54:16.050Z",1597751656.05,1,1,42856.0499999523,31.941999912262,215.106999874115,-113.9977611,46.8846587,113.997755
"9",-113.9977611,46.8846587,"2020-08-18T17:54:46.191Z",1597751686.191,1,1,42886.1909999847,30.1410000324249,245.24799990654,-113.9975999,46.8839737,113.9977611
"10",-113.9975999,46.8839737,"2020-08-18T17:55:18.040Z",1597751718.04,1,1,42918.0399999619,31.8489999771118,277.096999883652,-113.9967688,46.8834535,113.9975999
"11",-113.9967688,46.8834535,"2020-08-18T17:56:08.483Z",1597751768.483,1,1,42968.4830000401,50.4430000782013,327.539999961853,-113.99719788,46.88277593,113.9967688
"12",-113.99719788,46.88277593,"2020-08-18T17:57:15.000Z",1597751835,1,1,43035,66.5169999599457,394.056999921799,-113.9978864,46.8824148,113.99719788
"13",-113.9978864,46.8824148,"2020-08-18T17:57:48.953Z",1597751868.953,1,1,43068.9530000687,33.9530000686646,428.009999990463,-113.99726933,46.88246748,113.9978864
"14",-113.99726933,46.88246748,"2020-08-18T17:57:50.000Z",1597751870,1,1,43070,1.04699993133545,429.056999921799,-113.9969642,46.8811063,113.99726933
"15",-113.9969642,46.8811063,"2020-08-18T17:59:13.676Z",1597751953.676,1,1,43153.6760001183,83.6760001182556,512.733000040054,-113.99709948,46.88167262,113.9969642
"16",-113.99709948,46.88167262,"2020-08-18T17:59:14.000Z",1597751954,1,1,43154,0.323999881744385,513.056999921799,-113.9966843,46.8809138,113.99709948
"17",-113.9966843,46.8809138,"2020-08-18T17:59:44.175Z",1597751984.175,1,1,43184.1749999523,30.1749999523163,543.231999874115,-113.9962083,46.8805086,113.9966843
"18",-113.9962083,46.8805086,"2020-08-18T18:00:36.106Z",1597752036.106,1,1,43236.1059999466,51.930999994278,595.162999868393,-113.9963782,46.8796667,113.9962083
"19",-113.9963782,46.8796667,"2020-08-18T18:01:18.377Z",1597752078.377,1,1,43278.3770000935,42.2710001468658,637.434000015259,-113.9969234,46.8795821,113.9963782
"20",-113.9969234,46.8795821,"2020-08-18T18:01:39.169Z",1597752099.169,1,1,43299.1689999104,20.7919998168945,658.225999832153,-113.9963396,46.8787018,113.9969234
"21",-113.9963396,46.8787018,"2020-08-18T18:02:54.518Z",1597752174.518,1,1,43374.5179998875,75.3489999771118,733.574999809265,-113.99649618,46.87864226,113.9963396
"22",-113.99649618,46.87864226,"2020-08-18T18:02:55.000Z",1597752175,1,1,43375,0.482000112533569,734.056999921799,-113.9961055,46.8785475,113.99649618
"23",-113.9961055,46.8785475,"2020-08-18T18:03:25.287Z",1597752205.287,1,1,43405.2869999409,30.2869999408722,764.343999862671,-113.9944294,46.878045,113.9961055
"24",-113.9944294,46.878045,"2020-08-18T18:04:33.958Z",1597752273.958,1,1,43473.9579999447,68.6710000038147,833.014999866486,-113.9950092,46.87792268,113.9944294
"25",-113.9950092,46.87792268,"2020-08-18T18:04:35.000Z",1597752275,1,1,43475,1.04200005531311,834.056999921799,-113.99586425,46.87700346,113.9950092
"26",-113.99586425,46.87700346,"2020-08-18T18:05:55.000Z",1597752355,1,1,43555,80,914.056999921799,-113.9964587,46.8766139,113.99586425
"27",-113.9964587,46.8766139,"2020-08-18T18:06:27.948Z",1597752387.948,1,1,43587.9479999542,32.9479999542236,947.004999876022,-113.99637376,46.87666441,113.9964587
"28",-113.99637376,46.87666441,"2020-08-18T18:06:29.000Z",1597752389,1,1,43589,1.05200004577637,948.056999921799,-113.9969071,46.8759576,113.99637376
"29",-113.9969071,46.8759576,"2020-08-18T18:07:16.489Z",1597752436.489,1,1,43636.489000082,47.489000082016,995.546000003815,-113.9979122,46.8750262,113.9969071
"30",-113.9979122,46.8750262,"2020-08-18T18:08:22.646Z",1597752502.646,1,1,43702.6459999084,66.1569998264313,1061.70299983025,-113.99732879,46.87532415,113.9979122
"31",-113.99732879,46.87532415,"2020-08-18T18:08:23.000Z",1597752503,1,1,43703,0.354000091552734,1062.0569999218,-113.997661,46.874741,113.99732879
"32",-113.997661,46.874741,"2020-08-18T18:08:55.759Z",1597752535.759,1,1,43735.7590000629,32.7590000629425,1094.81599998474,-113.9984083,46.8736864,113.997661
"33",-113.9984083,46.8736864,"2020-08-18T18:10:00.702Z",1597752600.702,1,1,43800.7019999027,64.9429998397827,1159.75899982452,-113.99836992,46.87375328,113.9984083
"34",-113.99836992,46.87375328,"2020-08-18T18:10:01.000Z",1597752601,1,1,43801,0.29800009727478,1160.0569999218,-113.9985502,46.8733915,113.99836992
"35",-113.9985502,46.8733915,"2020-08-18T18:10:31.213Z",1597752631.213,1,1,43831.2130000591,30.2130000591278,1190.26999998093,-113.99775557,46.87319304,113.9985502
"36",-113.99775557,46.87319304,"2020-08-18T18:11:58.000Z",1597752718,1,1,43918,86.7869999408722,1277.0569999218,-113.9968128,46.87314834,113.99775557
"37",-113.9968128,46.87314834,"2020-08-18T18:12:32.000Z",1597752752,1,1,43952,34,1311.0569999218,-113.9957849,46.8725331,113.9968128
"38",-113.9957849,46.8725331,"2020-08-18T18:13:06.641Z",1597752786.641,1,1,43986.6410000324,34.6410000324249,1345.69799995422,-113.99682725,46.87310276,113.9957849
"39",-113.99682725,46.87310276,"2020-08-18T18:13:07.000Z",1597752787,1,1,43987,0.358999967575073,1346.0569999218,-113.9949811,46.8723954,113.99682725
"40",-113.9949811,46.8723954,"2020-08-18T18:14:02.376Z",1597752842.376,1,1,44042.3759999275,55.3759999275208,1401.43299984932,-113.9949811,46.8723954,113.9949811
"41",-113.9949811,46.8723954,"2020-08-18T18:14:11.701Z",1597752851.701,1,1,44051.7009999752,9.32500004768372,1410.757999897,-113.9941941,46.8720232,113.9949811
